No.,Scope,Application,Permission,Platform Admin,Platform Member,Team Lead,Team Member,WS Owner,WS Publisher,WS Contributor,WS Viewer,Conditions / Notes,Spec Section
1,Platform,Application access,Access AI engine URL,Allowed,Allowed,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Baseline permission for every active registered user.,7.2 Platform roles
2,Platform,Private creation,Create a Private Workspace and become its Owner,Allowed,Allowed,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Private Workspace remains owner-only until promoted or shared.,5.1; 7.4
3,Platform,Settings,Access all settings sections,Allowed,Prohibited,No automatic access,No automatic access,No automatic access,No automatic access,No automatic access,No automatic access,Team-scoped and workspace-scoped settings are granted separately.,7.2; 18.2
4,Platform,User administration,"Add, disable, delete, promote, or demote platform users",Allowed,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Cannot remove or demote the final active Platform Admin.,7.2; 8
5,Platform,Team administration,Create or delete Teams and appoint Team Leads,Allowed,Prohibited,Prohibited,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Team Lead manages only an assigned Team and only when delegated.,7.3; 8
6,Platform,Deletion impact,View workspace and artifact ownership counts for a user,Allowed,Prohibited,No automatic access,No automatic access,No automatic access,No automatic access,No automatic access,No automatic access,Metadata view does not grant content access.,7.2 Platform Admin privacy boundary
7,Platform,Break-glass,Initiate audited temporary access to protected content,Conditional,Prohibited,Prohibited,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,"Requires reason, time limit, explicit activation, and audit. Does not allow silent impersonation.",7.2; 11.5
8,Platform,User deletion,Delete a user who owns Team Workspaces,Conditional,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Transfer or archive accountable ownership first. Do not cascade-delete Team Workspaces.,7.4; 14
9,Team,Team settings,Access own Team membership and skill-governance settings,Allowed,No automatic access,Allowed,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Team Lead scope is limited to their assigned Team.,7.3 Team roles
10,Team,Membership,Add or remove members in own Team,Allowed,Prohibited,Conditional,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Team Lead requires delegated membership authority and cannot remove the final Team Lead.,7.3; 8
11,Team,Membership,Assign or remove a Team Lead,Allowed,Prohibited,Prohibited,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Direct privileged assignment by Platform Admin.,8 Role Assignment Authority
12,Team capability,Skill improvement,Create and edit a private improvement proposal for a Team-owned skill,Conditional,Conditional,Allowed,Allowed,Not applicable,Not applicable,Not applicable,Not applicable,Requires membership in the skill-owning Team. Workspace roles do not grant this permission.,7.5 Skill roles
13,Team capability,Skill improvement,Submit a frozen skill proposal to the owning Team Lead,Conditional,Conditional,Allowed,Allowed,Not applicable,Not applicable,Not applicable,Not applicable,Submission does not expose the proposer's ongoing private draft.,7.5; 9.2
14,Team capability,Skill review,"Review, comment on, approve, reject, or request changes on an ordinary Team skill proposal",Conditional,Prohibited,Allowed,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Platform Admin acts only through a Team Lead or Enterprise Skill Admin binding. Self-approval is blocked.,7.3; 7.5; 11.5
15,Team capability,Enterprise skill review,Approve a high-risk or exceptional skill version,Allowed,Prohibited,Prohibited,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Platform Admin performs Enterprise Skill Admin duties in the MVP.,7.3; 7.5
16,Team capability,Skill assignment,Assign an approved active skill version to own Team,Conditional,Prohibited,Allowed,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Must comply with enterprise policy and exact approved versions.,7.3; 8; 12
17,Team capability,Cross-Team skill assignment,Assign a Team-owned skill to another Team,Allowed,Prohibited,Conditional,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Requires enterprise cross-Team assignment policy. Workspace sharing alone never grants the skill.,7.3; 12
18,Team capability,Skill lifecycle,"Suspend, restore, retire, or roll back own Team skill",Allowed,Prohibited,Conditional,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Team Lead authority is limited to Team-owned skills; Enterprise Skill Admin may act globally.,7.5; 9.2
19,Enterprise capability,Global catalog,"CRUD enterprise skill, MCP, tool, and KB catalog configuration",Allowed,Prohibited,Prohibited,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Team Lead may manage Team assignments but cannot bypass the global catalog.,7.3; 7.7
20,Enterprise capability,Immutable skill versions,Edit an approved or active skill version in place,Prohibited,Prohibited,Prohibited,Prohibited,Not applicable,Not applicable,Not applicable,Not applicable,Create and approve a new immutable version instead.,5.2; 7.5
21,Runtime capability,Capability use,"Use an assigned skill, MCP server, tool, or global KB",Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,"Requires Team assignment plus workspace, skill declaration, connection, sandbox, and platform checks where applicable.",5.8-5.10; 7.7; 19
22,Runtime capability,Personal connection,"Create, refresh, or revoke own delegated OAuth/MCP connection",Allowed,Allowed,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,A personal connection proves identity and is never shared with the Team.,5.9; 7.7
23,Workspace,Workspace promotion,Promote or share an owned Private Workspace as a Team Workspace,Conditional,Conditional,No automatic access,No automatic access,Allowed,Not applicable,Not applicable,Not applicable,The Private Workspace Owner performs the promotion; Team Lead approval is not required.,7.4; 9.1
24,Workspace,Workspace access,View and download authorized workspace artifacts,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Allowed,Allowed,Allowed,Platform Admin and Team Lead need an explicit workspace role or audited break-glass access.,7.2; 7.4
25,Workspace,Agent interaction,Chat or prompt against authorized workspace content,No automatic access,No automatic access,No automatic access,No automatic access,Conditional,Conditional,Conditional,Conditional,"Also requires independently authorized skills, knowledge, tools, MCP, and runtime policy.",7.4; 19
